No.,Recipe Name,Protein (g),Carbs (g),Fat (g),Total Calories,Serving Size,Time of Day,Preparation Instructions,Veg / Non-veg
138,Vegetable & Lentil Soup,18,30,5,250,1 bowl,Dinner,Simmer lentils with mixed vegetables in vegetable broth until tender.,Veg
140,Chicken & Quinoa Stuffed Peppers,30,35,10,400,1 pepper,Dinner,"Stuff bell peppers with chicken and quinoa, bake until tender.",Non-Veg
141,Spinach & Cheese Omelette,20,5,10,200,1 omelette,Breakfast,"Whisk eggs, add spinach and cheese, cook until set.",Non-Veg
142,Roasted Vegetable Quinoa Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon dressing.,Veg
143,Chicken & Lentil Salad,30,30,5,250,1 bowl,Lunch,"Mix grilled chicken with lentils, cherry tomatoes, and spinach.",Non-Veg
144,Baked Zucchini Chips,5,15,5,100,1 serving,Snack,"Slice zucchini, season, and bake until crispy.",Veg
145,Mediterranean Chickpea Salad,15,30,5,250,1 bowl,Lunch,"Mix chickpeas with cucumbers, tomatoes, olives, and feta, drizzle with olive oil.",Veg
146,Chicken & Vegetable Curry,30,20,15,400,1 bowl,Dinner,Cook chicken with mixed vegetables in coconut milk and curry spices.,Non-Veg
147,Quinoa & Spinach Stuffed Chicken,25,5,10,300,1 breast,Dinner,"Stuff chicken breast with quinoa and spinach, bake until cooked through.",Non-Veg
148,Grilled Eggplant Sandwich,10,30,5,200,1 sandwich,Lunch,Layer grilled eggplant with hummus and veggies on whole grain bread.,Non-Veg
149,Chicken & Rice Pilaf,30,40,10,400,1 bowl,Dinner,"Cook chicken with rice, spices, and peas until tender.",Non-Veg
150,Spinach & Feta Quiche,15,20,10,250,1 slice,Breakfast,Bake eggs with spinach and feta in a pie crust until set.,Veg
151,Shrimp & Vegetable Fried Rice,25,40,10,400,1 bowl,Dinner,"Stir-fry shrimp with rice, peas, and carrots, season with soy sauce.",Non-Veg
152,Chicken & Avocado Salad,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with avocado, mixed greens, and lime dressing.",Non-Veg
153,Roasted Cauliflower Salad,5,15,5,100,1 bowl,Lunch,Toss roasted cauliflower with tahini dressing and parsley.,Veg
154,Turkey & Spinach Stuffed Peppers,25,30,5,300,1 pepper,Dinner,"Stuff bell peppers with ground turkey and spinach, bake until tender.",Non-Veg
155,Grilled Chicken & Pineapple Skewers,30,10,10,300,2 skewers,Dinner,"Skewer chicken and pineapple, grill until cooked through.",Non-Veg
156,Quinoa & Roasted Vegetable Bowl,12,40,5,300,1 bowl,Lunch,Mix cooked quinoa with roasted vegetables and a drizzle of balsamic glaze.,Veg
157,Egg & Veggie Breakfast Burrito,20,30,10,300,1 burrito,Breakfast,"Scramble eggs with mixed vegetables, wrap in a tortilla.",Non-Veg
158,Chicken & Black Bean Quesadilla,30,30,10,350,1 quesadilla,Lunch,"Fill a tortilla with chicken and black beans, cook until golden.",Non-Veg
160,Grilled Shrimp & Quinoa Salad,25,30,10,350,1 bowl,Lunch,"Toss grilled shrimp with quinoa, mixed greens, and a lemon vinaigrette.",Non-Veg
161,Vegetable & Chickpea Curry,15,30,10,300,1 bowl,Dinner,Cook mixed vegetables and chickpeas in coconut milk with curry spices.,Veg
162,Chicken & Sweet Potato Hash,30,40,10,400,1 bowl,Dinner,Saute chicken and sweet potatoes with onions and spices until cooked.,Non-Veg
163,Caprese Stuffed Chicken,30,10,10,350,1 breast,Dinner,"Stuff chicken breast with mozzarella, tomatoes, and basil, bake until cooked.",Non-Veg
164,Roasted Vegetable Pasta,12,40,10,350,1 bowl,Dinner,Toss cooked pasta with roasted vegetables and olive oil.,Veg
165,Chicken & Spinach Salad,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with spinach, strawberries, and a balsamic dressing.",Non-Veg
166,Quinoa & Black Bean Chili,15,30,5,250,1 bowl,Dinner,Cook quinoa and black beans with tomatoes and spices until thickened.,Veg
167,Egg & Avocado Breakfast Bowl,12,30,15,300,1 bowl,Breakfast,"Top a bowl with scrambled eggs, avocado, and salsa.",Non-Veg
168,Shrimp & Asparagus Stir-Fry,25,20,10,350,1 bowl,Dinner,"Stir-fry shrimp with asparagus and garlic, serve over rice.",Non-Veg
169,Chicken & Vegetable Fajitas,30,20,10,350,2 fajitas,Dinner,"Saute chicken with bell peppers and onions, serve in tortillas.",Non-Veg
170,Spinach & Feta Stuffed Peppers,15,30,5,250,1 pepper,Dinner,"Stuff bell peppers with spinach and feta, bake until tender.",Veg
171,Grilled Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Lunch,Serve grilled chicken over quinoa with mixed vegetables.,Non-Veg
172,Vegetable & Lentil Salad,18,30,5,250,1 bowl,Lunch,Mix lentils with diced vegetables and a lemon vinaigrette.,Veg
173,Baked Chicken Parmesan,30,20,10,350,1 serving,Dinner,Bake chicken with marinara sauce and mozzarella until bubbly.,Non-Veg
174,Quinoa & Spinach Salad,12,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with spinach, cherry tomatoes, and a lemon dressing.",Veg
175,Chicken & Vegetable Soup,25,30,5,250,1 bowl,Dinner,Simmer chicken and vegetables in broth until cooked through.,Non-Veg
176,Shrimp & Vegetable Skewers,25,10,5,200,2 skewers,Dinner,"Grill shrimp and vegetables on skewers, serve with a dipping sauce.",Non-Veg
177,Eggplant & Chickpea Salad,10,30,10,300,1 bowl,Lunch,"Mix roasted eggplant with chickpeas, tahini, and lemon juice.",Non-Veg
178,Chicken & Quinoa Stir-Fry,30,30,10,350,1 bowl,Dinner,Stir-fry chicken with quinoa and mixed vegetables.,Non-Veg
179,Spinach & Mushroom Stuffed Shells,15,40,10,400,3 shells,Dinner,"Fill pasta shells with spinach and mushrooms, cover with marinara, and bake.",Veg
180,Grilled Chicken & Vegetable Salad,30,10,10,350,1 bowl,Lunch,Toss grilled chicken with mixed greens and grilled vegetables.,Non-Veg
181,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
182,Chicken & Avocado Quesadilla,25,30,10,350,1 quesadilla,Lunch,"Fill a tortilla with chicken and avocado, cook until golden.",Non-Veg
183,Roasted Brussels Sprouts & Bacon,5,15,10,150,1 cup,Side,Roast Brussels sprouts with bacon until crispy.,Veg
184,Quinoa & Roasted Vegetable Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon vinaigrette.,Veg
185,Chicken & Sweet Potato Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, sweet potatoes, and vegetables in a casserole dish, bake until bubbly.",Non-Veg
186,Spinach & Feta Stuffed Chicken Thighs,25,5,10,300,1 thigh,Dinner,"Stuff chicken thighs with spinach and feta, bake until cooked through.",Non-Veg
187,Shrimp & Vegetable Pasta,25,30,10,350,1 bowl,Dinner,Toss cooked pasta with shrimp and mixed vegetables in garlic sauce.,Non-Veg
188,Chicken & Lentil Curry,30,20,10,350,1 bowl,Dinner,Cook chicken with lentils and curry spices in coconut milk.,Non-Veg
189,Grilled Vegetable & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Fill a tortilla with grilled vegetables and hummus, roll tightly.",Veg
190,Egg & Cheese Breakfast Bowl,20,30,10,300,1 bowl,Breakfast,"Top a bowl with scrambled eggs, cheese, and salsa.",Non-Veg
191,Chicken & Quinoa Salad Bowl,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
192,Roasted Cauliflower & Chickpea Salad,10,30,5,200,1 bowl,Lunch,"Toss roasted cauliflower with chickpeas, tahini, and lemon juice.",Veg
193,Turkey & Vegetable Stir-Fry,25,20,10,350,1 bowl,Dinner,Stir-fry ground turkey with mixed vegetables and soy sauce.,Non-Veg
194,Spinach & Cheese Stuffed Zucchini,15,20,10,250,1 zucchini,Dinner,"Stuff zucchini halves with spinach and cheese, bake until tender.",Veg
195,Chicken & Vegetable Frittata,30,10,15,350,1 slice,Breakfast,Bake eggs with chicken and mixed vegetables until set.,Non-Veg
196,Quinoa & Black Bean Salad,15,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with black beans, corn, and lime dressing.",Veg
197,Shrimp & Grits Bowl,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
198,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
199,Spinach & Feta Stuffed Portobello Mushrooms,15,5,10,200,1 mushroom,Dinner,"Stuff portobello mushrooms with spinach and feta, bake until tender.",Veg
200,Grilled Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Toss grilled chicken with quinoa, mixed greens, and a lemon vinaigrette.",Non-Veg
201,Grilled Chicken & Avocado Salad,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with avocado, mixed greens, and a lime vinaigrette.",Non-Veg
202,Quinoa & Roasted Vegetable Bowl,12,40,5,300,1 bowl,Lunch,Mix cooked quinoa with roasted vegetables and a drizzle of balsamic glaze.,Veg
203,Spicy Black Bean Tacos,15,30,5,250,2 tacos,Dinner,"Fill corn tortillas with spiced black beans, avocado, and salsa.",Veg
204,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
205,Lentil & Sweet Potato Salad,18,30,5,250,1 bowl,Lunch,Toss cooked lentils with roasted sweet potatoes and a light dressing.,Veg
206,Egg & Veggie Breakfast Muffins,20,10,10,200,2 muffins,Breakfast,"Mix eggs with diced vegetables, pour into muffin tins, and bake until set.",Non-Veg
